system:index,B11_median,B12_median,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,B9_median,cloud_cover,clouds_count,date,lat,lon,product_id,sensor,shadows_count,site_no,solar_az,solar_zen,water_median,.geo
20160710T073049_20160710T111136_T41WPQ_0,219.99999999999997,119.0,1859.0,350,1463.0000000000002,1100.0,863.0000000000001,808.0,816.9999999999999,827.0,726.0,679.0000000000001,191.99999999999997,39.0251,350,2016-07-10,66.63000000000001,66.6,S2A_OPER_PRD_MSIL1C_PDMC_20160710T144259_R049_V20160710T073049_20160710T073049,Sentinel-2A,350,Ob,177.270847053161,44.9439579458241,0.6668352683385214,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160712T062631_20160712T101413_T44WPC_1,21.0,13.000000000000002,1007.0,346,690.0000000000001,413.00000000000006,234.99999999999994,201.0,185.00000000000003,170.00000000000003,123.0,134.0,61.0,0.0,346,2016-07-12,69.37340000000002,86.12130000000002,S2A_OPER_PRD_MSIL1C_PDMC_20160712T124535_R077_V20160712T062631_20160712T062631,Sentinel-2A,346,Yenisey,181.245641413544,47.8792943051494,0.9027286917730695,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160712T062631_20160712T101413_T45WVS_1,21.0,13.0,1006.9999999999998,353,691.0000000000001,412.99999999999994,234.99999999999997,201.0,185.0,171.00000000000003,122.99999999999999,134.0,61.99999999999999,0.0,353,2016-07-12,69.37340000000002,86.12130000000002,S2A_OPER_PRD_MSIL1C_PDMC_20160712T124535_R077_V20160712T062631_20160712T062631,Sentinel-2A,353,Yenisey,182.409566600074,47.0355781648871,0.902097475528717,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160712T062631_20160712T101413_T45WVT_1,21.0,13.0,1006.9999999999998,353,691.0000000000001,412.99999999999994,234.99999999999997,201.0,185.00000000000003,170.0,122.99999999999999,134.0,61.00000000000001,0.0,353,2016-07-12,69.37340000000002,86.12130000000002,S2A_OPER_PRD_MSIL1C_PDMC_20160712T124535_R077_V20160712T062631_20160712T062631,Sentinel-2A,353,Yenisey,182.246525858785,47.9295949614385,0.902097475528717,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160712T062632_20160712T062631_T44WPC_1,20.999999999999996,13.000000000000004,1003.9999999999999,346,691.0000000000001,411.99999999999994,235.99999999999991,199.99999999999997,183.99999999999997,170.99999999999997,125.0,134.0,62.00000000000001,0.0,346,2016-07-12,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160712T062632_N0500_R077_T44WPC_20231001T063044,Sentinel-2A,346,Yenisey,181.246762110534,47.8794263653384,0.9034946424326872,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160712T062632_20160712T062631_T45WVS_1,21.000000000000004,12.000000000000002,1004.0000000000001,353,691.0,412.00000000000006,236.0,200.0,184.0,171.0,125.00000000000003,133.99999999999994,60.999999999999986,0.0,353,2016-07-12,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160712T062632_N0500_R077_T45WVS_20231001T063044,Sentinel-2A,353,Yenisey,182.410707325413,47.0357170667149,0.9035014942105132,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160712T062632_20160712T062631_T45WVT_1,21.000000000000004,12.000000000000002,1004.0000000000001,353,691.0000000000001,412.00000000000006,236.0,200.0,184.00000000000003,171.00000000000003,125.00000000000004,133.99999999999994,61.00000000000001,0.0,353,2016-07-12,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160712T062632_N0500_R077_T45WVT_20231001T063044,Sentinel-2A,353,Yenisey,182.247646655516,47.9297324406342,0.9035014942105132,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160714T221532_20160714T221535_T03VXJ_4,39.00000000000001,18.0,1449.0,342,1261.0,1188.0,1158.9999999999998,1090.0,924.0000000000001,966.0,742.0,781.9999999999999,83.00000000000001,0.475738302129057,342,2016-07-14,61.93,-162.88,S2A_MSIL1C_20160714T221532_N0500_R115_T03VXJ_20231001T003246,Sentinel-2A,342,Yukon,167.25288828256,40.6831773339226,0.9359483407891315,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160714T221535_20160715T000555_T03VXJ_4,40.99999999999999,19.0,1448.9999999999995,342,1263.0,1188.0,1160.0,1091.0,926.0,962.0,743.0,782.0000000000001,84.0,0.237,342,2016-07-14,61.93,-162.88,S2A_OPER_PRD_MSIL1C_PDMC_20160715T053239_R115_V20160714T221535_20160714T221535,Sentinel-2A,342,Yukon,167.251510971676,40.6832932569056,0.9337997635205587,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160716T010652_20160716T010652_T57WWS_3,47.0,29.0,1258.0,351,989.0000000000001,856.0000000000001,720.0,625.0,376.00000000000006,359.0,247.0,292.0,74.0,0.0348339366662233,351,2016-07-16,68.75,161.3,S2A_MSIL1C_20160716T010652_N0500_R131_T57WWS_20230929T143149,Sentinel-2A,351,Kolyma,174.695022181601,47.6701850000787,0.894895613193512,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160716T010652_20160716T043440_T57WWS_3,45.0,27.000000000000004,1230.9999999999998,351,986.0000000000001,854.0,721.0,626.0,374.0,361.0,243.00000000000003,289.0,73.00000000000001,0.0034,351,2016-07-16,68.75,161.3,S2A_OPER_PRD_MSIL1C_PDMC_20160719T155901_R131_V20160716T010652_20160716T010652,Sentinel-2A,351,Kolyma,174.69381198252,47.6701329441599,0.897847384766296,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160718T032542_20160718T032540_T51WWQ_2,51.00000000000001,37.0,1151.9999999999998,351,807.9999999999999,570.0,436.00000000000006,393.0,287.0,264.0,189.00000000000009,219.00000000000003,66.00000000000001,4.85616172474544,351,2016-07-18,66.76905,123.39458,S2A_MSIL1C_20160718T032542_N0500_R018_T51WWQ_20231006T073304,Sentinel-2A,351,Lena,173.556702966041,46.2751511392771,0.836826209317554,"{""type"":""MultiPoint"",""coordinates"":[]}"
