system:index,area_km2,count,label,label2024,latitude,longitude,year,.geo
7_000000000000000002be_5_00000000000000000181,0.002580032930947834,3,805452397029346,7_000000000000000002be,76.14973747221187,101.07960350674543,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002be_5_00000000000000000180,0.014616323555464411,17,805405152389090,7_000000000000000002be,76.15018135377393,101.07592573539424,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002be_6_0000000000000000022a,0.002580032930947834,3,805452397029346,7_000000000000000002be,76.14973747221187,101.07960350674543,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002be_6_00000000000000000229,0.014616323555464411,17,805405152389090,7_000000000000000002be,76.15018135377393,101.07592573539424,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002be_7_000000000000000002be,0.002580032930947834,3,805452397029346,7_000000000000000002be,76.14973747221187,101.07960350674543,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002be_7_000000000000000002bd,0.014616323555464411,17,805405152389090,7_000000000000000002be,76.15018135377393,101.07592573539424,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002f8_4_000000000000000000a6,0.0026405808548014796,3,805057260037491,7_000000000000000002f8,75.8139472158434,101.030016495837,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002f8_4_000000000000000000a7,0.007922670905246563,9,805074439906675,7_000000000000000002f8,75.81406699431268,101.03283131964926,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002f8_6_0000000000000000025f,0.0026405808548014796,3,805057260037491,7_000000000000000002f8,75.8139472158434,101.030016495837,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002f8_6_00000000000000000260,0.007922670905246563,9,805074439906675,7_000000000000000002f8,75.81406699431268,101.03283131964926,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002f8_7_000000000000000002f8,0.0026405808548014796,3,805057260037491,7_000000000000000002f8,75.8139472158434,101.030016495837,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000002f8_7_000000000000000002f9,0.007922670905246563,9,805074439906675,7_000000000000000002f8,75.81406699431268,101.03283131964926,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000030e_5_000000000000000001b3,0.020905103400231856,25,812723776662194,7_0000000000000000030e,76.53830556344016,101.99420348858905,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000030e_7_0000000000000000030e,0.0025085693474834313,3,812698006858418,7_0000000000000000030e,76.53780965674288,101.9888783638747,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000030e_7_0000000000000000030f,0.05602176707770018,67,812723776662194,7_0000000000000000030e,76.5390485457949,101.99746158871572,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000003d1_5_0000000000000000023e,0.012265100478453314,14,807359362508275,7_000000000000000003d1,75.88355380202994,101.31906881416961,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000003d1_6_00000000000000000319,0.002628380929906251,3,807346477606386,7_000000000000000003d1,75.88239883650611,101.31729778948905,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000003d1_6_0000000000000000031b,0.02190184162471677,25,807372247410162,7_000000000000000003d1,75.88328278813823,101.31975558603844,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000003d1_7_000000000000000003d1,0.002628380929906251,3,807346477606386,7_000000000000000003d1,75.88239883650611,101.31729778948905,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000003d1_7_000000000000000003d2,0.022778137372996103,26,807372247410162,7_000000000000000003d1,75.88326951290456,101.31990985614777,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000425_6_0000000000000000036a,0.001681148554937201,2,819814767667751,7_00000000000000000425,76.4655851314609,102.88117488282047,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000425_6_000000000000000003a3,0.016813700577595476,20,819814767667751,7_00000000000000000425,76.46423763552266,102.88209113533645,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000425_7_00000000000000000425,0.002521761742282795,3,819810472700455,7_00000000000000000425,76.46558513259718,102.88090537436484,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000425_7_00000000000000000463,0.020177158223128214,24,819810472700455,7_00000000000000000425,76.46412531739878,102.88189348102614,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000451_4_00000000000000000134,0.012581858370275952,15,823358115687011,7_00000000000000000451,76.49587632268562,103.3270805816859,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000451_5_000000000000000002a1,0.01929129101900834,23,823358115687011,7_00000000000000000451,76.49600285776272,103.32721181719624,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000451_6_00000000000000000396,0.002516548344712418,3,823332345883235,7_00000000000000000451,76.49522953681269,103.32341558576319,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000451_6_00000000000000000398,0.02683996898650494,32,823358115687011,7_00000000000000000451,76.49613906282534,103.32750842661787,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000451_7_00000000000000000451,0.002516548344712418,3,823332345883235,7_00000000000000000451,76.49522953681269,103.32341558576319,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000451_7_00000000000000000453,0.03690567167789787,44,823358115687011,7_00000000000000000451,76.49625852161229,103.32815614361944,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
