system:index,B11,B12,B2,B3,B4,B8,B8A,latitude,longitude,ndvi,ndwi,slump,.geo
000000000000000020f4,1880,1018,1149,911,919,1750,2027,76.91627370098081,102.86957956235187,0.31135258,0.315295,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002102,1968,1086,1194,952,949,1660,1996,76.91627370098081,102.86957956235187,0.27251822,0.27105665,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003e3e,2135,1266,1242,1033,944,2062,2537,76.41936039778692,103.90788124264674,0.37192282,0.33247173,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016f4,1542,855,1195,919,864,1723,2015,77.08140759029307,101.80439396180576,0.33204484,0.3043149,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001147,1385,797,1077,825,740,1495,1729,76.01764444298303,100.02649240348319,0.3378076,0.28879312,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000114f,687,380,1184,842,669,927,986,76.01764444298303,100.02649240348319,0.16165413,0.048049744,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001156,1412,805,1028,772,695,1460,1622,76.01764444298303,100.02649240348319,0.3549884,0.30824372,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000115a,1408,811,1031,811,736,1528,1756,76.01764444298303,100.02649240348319,0.34982333,0.30654126,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001165,1493,749,1087,817,741,1517,1765,76.01764444298303,100.02649240348319,0.34366697,0.2999143,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000116e,1480,785,1090,825,778,1504,1750,76.01764444298303,100.02649240348319,0.31814197,0.29154143,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000121,2890,1417,1131,992,994,2564,3057,75.43445645260705,96.8919985316708,0.44125915,0.44206974,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000539f,2488,1294,1229,1090,1083,2633,3016,74.18470420035777,103.252125841727,0.41711518,0.4144507,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016fd,1790,1094,1137,897,862,1385,1594,77.07161986348076,102.00162000139967,0.23275478,0.2138475,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e6b,199,129,1002,799,602,367,321,74.8531145300672,100.22185453883677,-0.24251805,-0.37049744,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000291a,2492,1264,1182,1012,1011,2579,3013,75.93714875076623,101.86060093058444,0.4367688,0.4363687,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a2c,2153,1163,1104,946,983,2461,2927,75.93714875076623,101.86060093058444,0.42915216,0.44467273,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a82,2430,1258,1124,945,1018,2400,2880,75.93714875076623,101.86060093058444,0.40433002,0.4349776,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005202,2670,1383,1153,995,1015,2697,3103,75.35104896740235,104.10817514376541,0.453125,0.46099675,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
